Date,Close,High,Low,Open,Volume,label,ticker
2020-01-02,88898.828125,90306.9405029039,88335.58317383844,90119.19218585006,2342070,skhynix,000660.KS
2020-01-03,88711.09375,91902.81564153438,88523.34540343915,90588.57721560846,3021380,skhynix,000660.KS
2020-01-06,88523.3359375,89462.07756992312,87115.22348886532,87302.97181534994,2577573,skhynix,000660.KS
2020-01-07,88241.703125,89555.94125664893,88241.703125,88711.07388630319,2489429,skhynix,000660.KS
2020-01-08,91433.4453125,93404.80296297485,89368.21348819301,90494.70357417864,7014748,skhynix,000660.KS
2020-01-09,92935.421875,92935.421875,91433.43525883838,92841.5477114899,3586413,skhynix,000660.KS
2020-01-10,92841.53125,93592.52442492417,91902.78978134479,93029.27954373104,2867925,skhynix,000660.KS
2020-01-13,94343.515625,94812.88634950249,91996.66200248756,92935.40345149254,2242008,skhynix,000660.KS
2020-01-14,94343.515625,97159.73997201493,93780.27075559701,95282.25707400497,2913343,skhynix,000660.KS
2020-01-15,92184.4296875,93780.29048657077,91996.68135819756,93780.29048657077,2745625,skhynix,000660.KS
2020-01-16,93123.1640625,93310.91237714214,91433.42923072077,91433.42923072077,2824804,skhynix,000660.KS
2020-01-17,92935.421875,95282.27596275252,92747.6735479798,94343.5343276515,2246394,skhynix,000660.KS
2020-01-20,93780.3046875,94812.92065503003,93498.6821509009,93874.17886636636,1781639,skhynix,000660.KS
2020-01-21,93217.046875,94343.53686744714,92935.42437688823,94343.53686744714,1483291,skhynix,000660.KS
2020-01-22,94812.90625,94812.90625,92935.42295792079,92935.42295792079,2257478,skhynix,000660.KS
2020-01-23,92653.7890625,94812.8945827001,92184.41829723911,94812.8945827001,2780104,skhynix,000660.KS
2020-01-28,90400.796875,90964.04171534268,89180.43305425753,89649.8037545431,3630362,skhynix,000660.KS
2020-01-29,91902.796875,92935.41257022473,90776.30702566395,90964.05533388662,2741459,skhynix,000660.KS
2020-01-30,88241.703125,91808.92091090426,88053.95482047873,91808.92091090426,3223436,skhynix,000660.KS
2020-01-31,87772.3359375,91527.30218081552,87772.3359375,88711.07749832889,4597139,skhynix,000660.KS
2020-02-03,88898.828125,89743.69555174235,85894.85505213833,86176.47752771912,3725535,skhynix,000660.KS
2020-02-04,91151.8203125,91527.31699761844,88711.09185923018,88992.714373069,3169743,skhynix,000660.KS
2020-02-05,91715.046875,93217.03331307574,90964.05365596213,93217.03331307574,2911995,skhynix,000660.KS
2020-02-06,94343.515625,94812.88634950249,92278.28443718905,92841.52930659204,2861441,skhynix,000660.KS
2020-02-07,93217.046875,94343.53686744714,92372.17938066466,93874.16603726083,1827393,skhynix,000660.KS
2020-02-10,92747.6640625,93123.16067813766,91433.42590776822,91996.6708312247,1825648,skhynix,000660.KS
2020-02-11,93686.4140625,94343.53319921093,92935.42076340181,93780.28822488728,1820578,skhynix,000660.KS
2020-02-12,93874.171875,94812.91359375,93029.304328125,94343.542734375,2616573,skhynix,000660.KS
2020-02-13,95751.6484375,97159.76091452206,94343.53596047794,94812.90678615196,3519491,skhynix,000660.KS
