Date,Close,High,Low,Open,Volume,label,ticker
2020-01-02,47470.90234375,48158.88643568841,47298.9063207654,47728.896378226906,12993228,samsung,005930.KS
2020-01-03,47728.890625,48674.868637387386,47212.90261824324,48158.88063063063,15422255,samsung,005930.KS
2020-01-06,47728.890625,47814.88862612612,46954.908614864864,47212.90261824324,10278951,samsung,005930.KS
2020-01-07,47986.8828125,48502.87079973118,47814.88681675627,47900.88481462814,10009778,samsung,005930.KS
2020-01-08,48846.87109375,49362.85916868398,48072.88898134903,48330.88301881602,23501171,samsung,005930.KS
2020-01-09,50394.828125,50394.828125,49362.85212244027,50222.832124573375,24102579,samsung,005930.KS
2020-01-10,51168.80859375,51340.80458902311,50136.832622111346,50566.82261029412,16000170,samsung,005930.KS
2020-01-13,51598.8046875,51598.8046875,50824.8226171875,51254.81265625,11359139,samsung,005930.KS
2020-01-14,51598.8046875,52458.784765625,51512.8066796875,51942.796718749996,16906295,samsung,005930.KS
2020-01-15,50738.828125,51254.81620762712,50652.83011122882,51168.818193855936,14300928,samsung,005930.KS
2020-01-16,52200.77734375,52200.77734375,50738.81158618204,50824.80957192133,14381774,samsung,005930.KS
2020-01-17,52716.7734375,53318.75943107667,52458.77944025285,53232.76143199429,16025661,samsung,005930.KS
2020-01-20,53662.7578125,54006.74984975962,53060.77174729567,53318.76577524038,12528855,samsung,005930.KS
2020-01-21,52802.76171875,53662.741551302934,52630.765752239415,53318.74961828176,11142693,samsung,005930.KS
2020-01-22,53576.7578125,53834.751830858746,51942.79569622793,52028.79370234751,15339565,samsung,005930.KS
2020-01-23,52286.78125,53146.76120476974,52200.78325452303,53146.76120476974,14916555,samsung,005930.KS
2020-01-28,50566.82421875,51082.812220982145,50136.83421688988,51082.812220982145,23664541,samsung,005930.KS
2020-01-29,50824.82421875,51340.81228188452,50566.83018718274,50824.82421875,16446102,samsung,005930.KS
2020-01-30,49190.8671875,50566.83550043706,48846.87510926573,50566.83550043706,20821939,samsung,005930.KS
2020-01-31,48502.87109375,50222.83106161348,48502.87109375,49706.84307125443,19749457,samsung,005930.KS
2020-02-03,49190.8671875,49362.86322661713,47470.90679632867,47728.900855004365,23995260,samsung,005930.KS
2020-02-04,50652.828125,50738.82613539898,48846.869906621396,49104.863937818336,21800192,samsung,005930.KS
2020-02-05,51168.80859375,51770.79457720588,50652.82060793068,51598.79858193277,19278165,samsung,005930.KS
2020-02-06,52544.78515625,52544.78515625,51340.812992277,51684.80503912643,14727159,samsung,005930.KS
2020-02-07,51942.79296875,52630.776981581126,51340.806957522764,52544.778979977236,16402493,samsung,005930.KS
2020-02-10,51340.80859375,51426.80659809464,50824.82056768216,50910.8185720268,13107121,samsung,005930.KS
2020-02-11,51512.8203125,52200.80455707429,51340.824251356426,51426.82228192822,11071231,samsung,005930.KS
2020-02-12,52028.796875,52200.792897727275,51340.81278409091,51856.800852272725,12904207,samsung,005930.KS
2020-02-13,52200.77734375,52974.759215403625,52028.78137227141,52630.76727244646,18449775,samsung,005930.KS
2020-02-14,53146.77734375,53232.775365341826,51770.80899828074,52372.795149423546,13276067,samsung,005930.KS
2020-02-17,52888.78515625,53318.77527947155,52630.791082317075,52974.78318089431,8740596,samsung,005930.KS
2020-02-18,51426.81640625,52372.79463445861,51340.818385503764,52286.79661371237,16674266,samsung,005930.KS
2020-02-19,51770.8046875,51942.80071636212,51082.820572051496,51426.81262977575,12951496,samsung,005930.KS
2020-02-20,51598.8046875,52716.7787890625,51254.81265625,52200.7907421875,14591924,samsung,005930.KS
2020-02-21,50910.828125,51426.81624788851,50308.841981630074,50566.83604307433,13777393,samsung,005930.KS
2020-02-24,48846.87109375,49964.84525610696,48846.87109375,49362.85916868398,25627537,samsung,005930.KS
2020-02-25,49792.85546875,49878.85349201209,48330.88907329447,48330.88907329447,23885408,samsung,005930.KS
2020-02-26,48588.875,49018.86504424778,48158.88495575221,48158.88495575221,25483102,samsung,005930.KS
2020-02-27,48072.89453125,48932.87475542263,47728.90244158095,48416.88662091905,23209541,samsung,005930.KS
2020-02-28,46610.9140625,47728.8880160286,46610.9140625,47298.89803390222,30054227,samsung,005930.KS
2020-03-02,47298.8984375,47728.88842329546,46094.926477272726,46696.91245738637,30403412,samsung,005930.KS
2020-03-03,47642.8984375,48932.86861180054,47384.90440263989,48760.872588560465,30330295,samsung,005930.KS
2020-03-04,49362.8515625,49534.84756097561,46954.907583841465,47126.90358231707,24765728,samsung,005930.KS
2020-03-05,49706.84765625,49878.84366890138,48760.86958666739,49534.85164359862,21698990,samsung,005930.KS
2020-03-06,48588.875,49190.8610619469,48330.88097345133,48588.875,18716656,samsung,005930.KS
2020-03-09,48588.875,48588.875,48588.875,48588.875,0,samsung,005930.KS
2020-03-10,46954.91015625,47212.90416809753,46180.92812070742,46266.926124656595,32106554,samsung,005930.KS
2020-03-11,44804.96484375,46782.91914587332,44718.966830614205,46696.92113273752,45707281,samsung,005930.KS
2020-03-12,44804.96484375,44804.96484375,44804.96484375,44804.96484375,0,samsung,005930.KS
2020-03-13,42956.00390625,44374.971002252256,40290.06572588214,40806.05376079204,59462933,samsung,005930.KS
